No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
7553,18,E,Quercus alba,0.148,High,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,19.46,32.18,5,19.52,21.13,9,31.5,1,,
4270,10,B,Quercus alba,0.072,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,19.99,34.18,4.27,19.83,19.75,33,115.5,0,,1
7746,18,B,Quercus alba,0.138,High,2017,Prunus serotina,G,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,17.96,32.3,4.54,19.14,24.27,9,31.5,1,,
2657,7,A,Quercus alba,0.078,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,14.1,28.95,4.71,21.11,18.02,10,35,1,,
3561,9,C,Acer saccharum,0.077,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,19.64,,-0.63,14.05,12.01,10,35,1,,
5222,13,A,Acer saccharum,0.052,Low,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,20.66,,-0.58,10.16,10.87,10,35,1,,
5372,13,E,Acer saccharum,0.077,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,19.64,,-0.63,14.05,12.01,10,35,1,,
5537,13,D,Acer saccharum,0.086,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.35,,-0.58,14.11,12.2,10,35,1,,
5574,13,D,Acer saccharum,0.086,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.35,,-0.58,14.11,12.2,10,35,1,,
6199,15,A,Prunus serotina,0.087,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/12/18,38.92,,0.7,8.13,11.62,10,35,1,,
53,1,C,Acer saccharum,0.106,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,6/11/18,8.35,,0.04,12.12,12.21,11,38.5,1,,
122,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22,,-0.56,13.86,12.15,11,38.5,1,,
173,1,C,Acer saccharum,0.106,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22,,-0.56,13.86,12.15,11,38.5,1,,
